EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
260135.300,256850.900,471887.600,479142.400,224676.400,209202.700,216322.500,225520.400,0.000
260128.500,256847.300,471861.300,479120.800,224667.200,209201.300,216324.800,225522.600,0.000
260130.800,256846.000,471842.300,479102.300,224674.200,209205.900,216331.500,225526.300,0.000
260132.200,256844.000,471822.600,479083.500,224681.000,209208.800,216336.400,225530.500,0.000
260129.100,256845.800,471800.300,479061.200,224670.600,209205.700,216334.600,225531.900,0.000
260125.500,256846.500,471775.700,479039.700,224662.700,209202.600,216333.900,225532.200,0.000
260134.000,256852.300,471760.200,479029.400,224669.400,209205.300,216340.600,225535.200,0.000
260140.200,256854.700,471742.200,479016.100,224677.300,209204.400,216341.700,225533.800,0.000
260134.400,256853.500,471715.600,478990.300,224666.300,209197.500,216331.500,225525.400,0.000
260128.200,256853.200,471686.900,478967.700,224651.800,209189.900,216323.900,225519.700,0.000
260128.600,256852.700,471662.600,478950.200,224649.700,209185.400,216321.400,225517.100,0.000
260136.200,256852.900,471646.900,478935.700,224662.100,209188.700,216325.600,225519.100,0.000
260130.600,256847.000,471618.200,478908.800,224658.400,209184.000,216316.300,225509.800,0.000
260124.900,256845.100,471598.400,478885.400,224648.600,209180.400,216309.000,225502.400,0.000
260127.000,256846.700,471585.900,478872.400,224650.200,209184.700,216315.800,225507.200,0.000
260139.200,256854.100,471571.400,478864.200,224665.300,209193.800,216325.900,225517.000,0.000
260136.100,256853.000,471550.600,478840.600,224666.000,209195.200,216324.600,225517.400,0.000
260126.500,256849.800,471523.600,478815.100,224654.400,209190.100,216313.800,225510.700,0.000
260124.300,256849.600,471503.300,478798.600,224654.600,209192.900,216317.400,225513.900,0.000
260130.300,256851.300,471485.300,478782.800,224667.100,209198.000,216322.900,225516.400,0.000
260130.600,256850.600,471467.700,478763.000,224673.700,209201.900,216326.200,225513.500,0.000
260123.400,256848.300,471445.800,478739.700,224666.200,209199.500,216320.700,225508.500,0.000
260119.000,256848.300,471424.700,478721.500,224662.100,209199.600,216320.000,225511.100,0.000
260121.100,256846.900,471405.800,478709.200,224671.300,209206.200,216327.400,225517.800,0.000
260125.100,256844.700,471386.200,478693.900,224677.700,209206.700,216329.800,225519.100,0.000
260113.200,256834.500,471355.700,478664.700,224657.800,209190.800,216318.900,225510.600,0.000
260104.300,256828.500,471324.500,478644.200,224644.500,209180.700,216314.000,225508.300,0.000
260109.600,256831.500,471308.900,478633.800,224653.500,209186.600,216325.400,225515.800,0.000
260112.700,256831.000,471290.600,478616.400,224659.500,209187.600,216330.100,225514.500,0.000
260105.100,256825.800,471265.400,478592.100,224649.000,209182.700,216325.500,225511.400,0.000
260101.800,256827.500,471244.100,478572.400,224641.200,209182.700,216324.600,225511.700,0.000
260108.100,256829.600,471229.400,478557.100,224644.300,209184.600,216327.700,225510.300,0.000
260111.200,256824.800,471207.900,478536.400,224650.100,209183.400,216326.600,225506.000,0.000
260103.800,256819.600,471182.500,478509.900,224642.100,209176.400,216319.100,225499.300,0.000
260098.700,256820.000,471160.400,478490.200,224633.400,209173.500,216317.200,225499.900,0.000
260095.800,256817.200,471140.000,478472.300,224630.500,209169.800,216315.500,225498.200,0.000
260099.900,256817.200,471125.800,478458.300,224638.300,209170.000,216315.100,225496.100,0.000
260099.300,256816.000,471105.400,478439.500,224635.900,209169.700,216308.700,225492.100,0.000
260092.800,256814.300,471079.800,478416.700,224624.400,209165.800,216299.500,225485.600,0.000
260094.700,256817.900,471065.400,478403.400,224626.400,209170.200,216301.000,225488.700,0.000
260101.500,256820.300,471055.200,478390.900,224638.000,209173.700,216304.800,225486.800,0.000
260107.100,256825.000,471044.300,478375.100,224642.300,209178.200,216305.100,225486.800,0.000
260103.500,256825.400,471023.200,478352.000,224631.700,209175.200,216292.400,225480.100,0.000
260105.700,256829.200,471005.800,478335.200,224631.100,209175.000,216286.800,225473.800,0.000
260118.300,256838.600,470999.500,478329.300,224650.400,209184.900,216297.400,225481.200,0.000
260128.600,256844.300,470988.700,478320.500,224662.200,209192.300,216304.700,225488.300,0.000
260120.000,256840.600,470965.000,478302.200,224650.300,209189.600,216301.100,225488.300,0.000
260112.100,256835.800,470944.400,478288.600,224642.100,209189.200,216304.100,225493.000,0.000
260112.900,256835.200,470928.600,478281.100,224654.700,209196.800,216317.000,225504.800,0.000
260112.000,256832.400,470904.400,478267.500,224661.100,209199.600,216323.700,225510.700,0.000
260102.600,256826.900,470881.700,478244.700,224649.300,209195.300,216319.700,225509.400,0.000
260101.600,256830.300,470867.500,478232.200,224645.500,209197.900,216326.300,225516.900,0.000
260103.200,256829.100,470851.700,478218.500,224649.700,209197.900,216331.900,225519.600,0.000
260107.800,256829.400,470827.300,478202.900,224656.600,209198.400,216335.300,225518.900,0.000
260101.000,256824.800,470804.200,478177.100,224645.900,209193.500,216328.200,225513.900,0.000
260098.800,256823.900,470786.800,478158.400,224639.300,209190.600,216326.400,225512.800,0.000
260105.800,256827.900,470779.500,478151.000,224651.000,209198.400,216334.400,225517.800,0.000
260113.400,256832.000,470771.500,478141.600,224665.300,209202.600,216342.200,225520.100,0.000
260106.300,256829.100,470751.900,478117.100,224657.300,209196.700,216333.100,225510.600,0.000
260102.700,256827.700,470730.400,478096.100,224645.000,209189.100,216322.400,225503.500,0.000
260108.100,256832.100,470715.700,478087.800,224648.500,209189.300,216323.000,225505.700,0.000
260109.100,256829.300,470698.600,478075.600,224653.900,209185.400,216323.100,225502.600,0.000
260107.800,256828.200,470679.800,478056.000,224648.700,209182.700,216318.900,225495.400,0.000
260100.800,256826.400,470655.700,478034.900,224635.400,209177.100,216310.200,225491.100,0.000
260102.300,256830.300,470640.200,478022.800,224632.500,209177.800,216309.200,225493.100,0.000
260116.100,256837.100,470635.900,478016.600,224643.900,209185.300,216318.500,225497.700,0.000
260117.300,256835.800,470617.900,477998.900,224643.200,209183.400,216315.000,225494.800,0.000
260112.300,256837.300,470595.100,477979.900,224633.300,209178.000,216305.500,225489.200,0.000
260113.200,256840.600,470579.200,477968.200,224631.600,209178.000,216302.600,225484.000,0.000
260123.400,256846.200,470573.900,477959.100,224646.800,209183.400,216304.800,225485.600,0.000
260127.500,256847.100,470562.500,477944.200,224657.400,209188.500,216304.600,225483.800,0.000
260120.500,256843.300,470544.100,477925.900,224649.000,209187.300,216300.000,225479.300,0.000
260115.800,256840.300,470523.700,477910.100,224641.200,209184.500,216297.500,225477.600,0.000
260122.800,256844.900,470510.400,477901.300,224648.800,209190.000,216304.300,225483.400,0.000
260127.300,256845.000,470496.300,477888.000,224654.600,209189.800,216303.800,225483.600,0.000
260123.400,256844.300,470475.100,477869.100,224648.200,209188.300,216300.600,225484.800,0.000
260118.600,256843.000,470453.700,477854.800,224642.300,209189.200,216303.100,225493.300,0.000
260118.300,256841.000,470437.300,477842.700,224644.100,209189.500,216310.200,225500.000,0.000
260117.500,256837.200,470418.500,477826.400,224648.700,209187.000,216313.400,225501.200,0.000
260112.500,256835.500,470401.400,477806.100,224641.400,209184.000,216312.200,225503.100,0.000
260108.300,256835.800,470385.600,477789.500,224631.700,209182.200,216312.100,225504.600,0.000
260104.700,256831.100,470361.500,477775.400,224627.900,209179.600,216313.400,225501.800,0.000
260110.600,256831.800,470348.300,477764.300,224638.400,209182.500,216318.200,225502.500,0.000
260107.400,256830.000,470328.800,477744.000,224631.800,209174.700,216306.500,225492.300,0.000
260099.400,256825.000,470308.300,477721.100,224618.300,209166.700,216293.200,225482.400,0.000
260104.200,256830.000,470297.900,477712.900,224623.100,209170.000,216296.900,225484.000,0.000
260113.200,256831.900,470291.300,477706.400,224638.300,209176.600,216303.900,225484.000,0.000
260104.200,256825.000,470271.100,477686.600,224634.300,209169.400,216295.000,225475.700,0.000
260098.200,256824.200,470252.600,477669.000,224625.400,209165.900,216289.200,225474.300,0.000
260096.700,256820.900,470236.800,477656.400,224622.500,209164.800,216290.700,225475.600,0.000
260101.300,256821.600,470224.200,477649.100,224635.200,209170.900,216296.000,225477.700,0.000
260100.500,256823.200,470211.300,477633.600,224636.500,209172.400,216294.600,225477.000,0.000
260097.700,256822.300,470193.500,477614.700,224625.900,209167.700,216286.900,225471.500,0.000
260098.400,256823.500,470177.900,477604.800,224623.900,209168.400,216287.000,225472.400,0.000
260106.500,256826.800,470172.400,477600.400,224635.900,209176.200,216293.300,225479.000,0.000
260109.500,256828.200,470167.100,477587.800,224648.200,209182.600,216296.000,225481.500,0.000
